r_u,r_p,mean_l2_u,max_l2_u,mean_l2_p,mean_h1_u,rom_time_s,speedup
1,1,1.0,1.0000000000000009,417456004356158.25,1.0,1.049867582321167,3.472387774975388
2,2,1.0000000000000002,1.0000000000000009,1154198222734539.8,1.0,1.1059173583984374,3.296401245997603
3,3,1.0000000000000002,1.0000000000000009,1339786730856029.5,1.0,1.072944211959839,3.3977044822638387
4,4,1.0000000000000002,1.0000000000000022,1744508716423551.2,1.0,1.1083019256591797,3.2893088731455027
5,5,1.0000000000000033,1.000000000000022,3152836200251425.0,1.0000000000000044,1.2031633694966635,3.0299687063445764
6,6,1.0000000000000002,1.0000000000000038,2140595581514227.2,1.0000000000000007,1.0643214066823323,3.425231640843124
7,6,0.004806475358238144,0.012514067076992394,1941.2422360598875,0.008303288054591419,1.0540172100067138,3.4587171097251495
8,6,0.0048064753553572655,0.012514067071069331,4549.077394767239,0.008303288054593926,1.0767271041870117,3.3857672422461924
9,6,0.004806475357124731,0.012514067070913246,273.51678938684546,0.008303288054595756,1.3020116806030273,2.7999344495178033
10,6,0.0048064753573199585,0.012514067071006033,128.14923950731918,0.008303288054595539,1.1103867053985597,3.283133110717912
11,6,0.00480647535726182,0.0125140670710231,15.409547321900734,0.008303288054595596,1.1286341508229574,3.2300523207957084
12,6,0.00480647535725665,0.01251406707102158,0.008906866541889357,0.008303288054595594,1.0543917338053386,3.4574885607629646
